"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","Domain","Vocabulary","Ancestors"
"","4232597","404810003","5-HT secreting neuroendocrine tumor","Clinical Finding","Standard","01/31/2004","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4084437","281566005","Abdominothoracic neuroblastoma","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4300558","403901001","Acantholytic squamous cell carcinoma","Clinical Finding","Standard","07/31/2003","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4187635","413389003","Accelerated phase chronic myeloid leukemia","Clinical Finding","Standard","01/31/2005","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","37204852","783771003","Acinar cell carcinoma of pancreas","Clinical Finding","Standard","07/31/2019","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","37311684","822969007","Acinar cell cystadenocarcinoma of lung","Clinical Finding","Standard","01/31/2020","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","37311683","822970008","Acinar cell cystadenocarcinoma of prostate","Clinical Finding","Standard","01/31/2020","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","35622697","764856008","Acquired cystic disease associated renal cell carcinoma","Clinical Finding","Standard","07/31/2018","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4110726","254732008","Acral lentiginous malignant melanoma of skin","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4081867","278453007","Acute biphenotypic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4173970","277604002","Acute eosinophilic leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","138708","91855006","Acute leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","376","10,199","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","135496","91854005","Acute leukemia in remission","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","36715589","721308005","Acute leukemia of ambiguous lineage","Clinical Finding","Standard","01/31/2017","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","4153344","371012000","Acute lymphoblastic leukemia, transitional pre-B-cell","Clinical Finding","Standard","07/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","134305","91857003","Acute lymphoid leukemia","Clinical Finding","Standard","01/31/2002","12/31/2099","2,042","2,315","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
"","141816","91856007","Acute lymphoid leukemia in remission","Clinical Finding","Standard","01/31/2002","12/31/2099","0","0","Condition","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant neoplastic disease'"">1"
